UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;PASSO DE TORRES;14570;7645;0;236;33;1472;878;1;44;24;1851;751;40;0;818;27;4;82;0;14;5;645
SC;PASSOS MAIA;3162;1738;0;162;36;457;95;0;0;8;425;54;68;0;49;39;0;0;0;0;0;31
SC;PAULO LOPES;7254;3380;0;314;119;624;236;0;3;15;1545;357;49;0;317;158;0;15;0;10;2;110
SC;PEDRAS GRANDES;4379;1748;0;281;66;415;96;0;5;22;1241;267;24;0;77;85;0;1;0;0;0;51
SC;PENHA;24954;12526;0;506;214;1816;1052;0;35;58;4650;2520;78;0;724;271;11;37;0;12;3;441
SC;PERITIBA;2678;1462;0;151;49;349;89;0;0;4;365;69;8;0;49;53;0;2;0;0;0;28
SC;PESCARIA BRAVA;5888;2690;0;194;75;444;184;0;9;8;1329;563;12;0;180;102;0;11;0;16;2;69
SC;PETROLANDIA;5798;2888;0;219;85;643;196;0;0;11;1104;235;32;0;158;140;0;3;0;0;0;84
SC;PINHALZINHO;18991;10201;0;645;434;2030;838;0;9;31;2371;1007;74;0;452;477;6;23;0;3;3;387
SC;PINHEIRO PRETO;3330;1544;0;354;129;413;97;0;0;12;400;127;21;0;51;143;0;0;0;1;0;38
SC;PIRATUBA;5204;2837;0;157;19;614;170;0;2;14;739;326;25;0;160;27;0;11;0;0;3;100
SC;PLANALTO ALEGRE;2426;1251;0;90;18;264;74;0;1;8;524;95;6;0;49;26;0;0;0;1;0;19
SC;POMERODE;30170;16963;0;800;119;2443;1677;0;37;50;4738;1474;82;0;798;192;2;77;0;50;3;665
SC;PONTE ALTA;3248;1948;0;207;67;385;76;0;0;12;287;30;18;0;111;76;0;2;0;3;2;24
SC;PONTE ALTA DO NORTE;2179;1322;0;91;61;302;44;0;0;15;165;26;13;0;50;71;0;1;0;0;0;18
SC;PONTE SERRADA;8623;5143;0;393;152;1057;295;0;1;49;671;140;188;0;223;205;0;3;0;0;2;101
SC;PORTO BELO;21681;10825;0;400;69;1914;1104;0;9;58;3813;1766;51;0;720;101;1;68;0;16;3;763
SC;PORTO UNIAO;33646;18704;0;892;207;3638;1751;0;18;53;4923;1551;56;1;755;299;2;15;0;4;5;772
SC;POUSO REDONDO;14306;7902;0;628;237;1462;448;0;5;26;2061;481;61;0;457;306;1;18;0;10;2;201
SC;PRAIA GRANDE;9389;4250;0;311;20;856;304;0;5;21;2706;276;35;0;343;30;0;17;0;3;2;210
SC;PRESIDENTE CASTELO BRANCO;1627;857;0;109;40;200;30;0;0;7;265;27;6;0;34;43;0;0;0;2;0;7
SC;PRESIDENTE GETULIO;15818;8345;0;420;112;1407;609;1;10;67;2775;1035;107;0;547;100;2;17;0;8;1;255
SC;PRESIDENTE NEREU;1849;861;0;57;5;207;52;0;0;11;519;74;11;0;24;5;0;2;0;0;0;21
SC;PRINCESA;2481;1164;0;94;43;257;85;0;0;7;642;75;13;0;28;58;0;0;0;0;0;15
SC;QUILOMBO;9189;4704;0;308;183;1037;249;0;2;36;1701;382;55;0;167;262;0;7;0;0;2;94
SC;RANCHO QUEIMADO;3155;1419;0;196;14;406;132;0;1;9;649;111;9;0;129;7;0;2;0;4;0;67
SC;RIO DAS ANTAS;4360;2478;0;232;24;586;123;0;0;11;637;68;41;0;105;22;0;2;0;1;0;30
SC;RIO DO CAMPO;5726;2967;0;238;41;687;224;0;1;20;1083;163;30;0;137;31;2;2;0;4;1;95
